data_emissao,nome,id,cnpj,descricao,valor,data_vencimento
19/03/26,DESPESAS DIVERSAS,11,99.999.999/999-99,MARIA,120.00,21/03/26
19/03/26,MERCADO BOM DIA,417,99.999.999/5a79-be,MERCADO BOM DIA,20.00,21/03/26
19/03/26,DESPESAS DIVERSAS,11,99.999.999/999-99,TROCA DE PNEU/REMENDO,40.00,23/03/26
19/03/26,DESPESAS DIVERSAS,11,99.999.999/999-99,DIVERSOS,30.00,23/03/26
19/03/26,DESPESAS DIVERSAS,11,99.999.999/999-99,MARI - MC DONALD,14.50,23/03/26
19/03/26,KING HOST,404,99.999.999/5a79-a9,KINGHOST,98.99,23/03/26
19/03/26,PRESTAÇÃO MOTO,527,99.999.999/5a79-83,PRESTAÇÃO MOTO,585.00,23/03/26
19/03/26,PSICÓLOGA,551,99.999.999/5z14-w4,PSICÓLOGA,150.00,23/03/26
19/03/26,PSICÓLOGA,551,99.999.999/5z14-w4,Compra de produtos - NF PSICÓLOGA,150.00,23/03/26
19/03/26,SANTA RITA SAUDE,546,99.999.999/bce1-91,CONVENIO,415.00,23/03/26
19/03/26,VIVO,424,99.999.999/5a79-cb,Compra de produtos - NF conta vencimento 26/02/26,71.40,24/03/26
19/03/26,DESPESAS DIVERSAS,11,99.999.999/999-99,SEGURO  EMPRÉSTIMO,25.88,25/03/26
19/03/26,DESPESAS DIVERSAS,11,99.999.999/999-99,FATIMA - MATO,50.00,27/03/26
19/03/26,DESPESAS DIVERSAS,11,99.999.999/999-99,DESPESAS DIVERSAS,66.00,27/03/26
19/03/26,MERCADO BOM DIA,417,99.999.999/5a79-be,MERCADO BOM DIA,311.00,27/03/26
19/03/26,TROCA DE ÓLEO MOTO,519,99.999.999/5a79-77,Compra de produtos - NF TROCA DE OLEO DA MOTO,42.00,27/03/26
19/03/26,ESCRITÓRIO CONTÁBIL  - ARTCOM,558,99.999.999/b58ac-99,Compra de produtos - NF,275.00,04/04/26
19/03/26,PRESTAÇÃO CARRO FATIMA/MARI,559,99.999.999/5cx81-99,PRESTACAO HB-20,688.00,04/04/26
19/03/26,SANTA RITA SAUDE,546,99.999.999/bce1-91,CONVENIO,415.00,05/04/26
19/03/26,EMPREST. CAIXA,501,99.999.999/5a79-5c,EMPREST. CAIXA,493.00,06/04/26
19/03/26,MARIA,409,99.999.999/5a79-b1,DIARISTA,120.00,07/04/26
19/03/26,CASCO DO GÁS,445,99.999.999/5a79-f2,Parcela 6/12  - NF CASCO,150.00,09/04/26
19/03/26,LIGGA,507,99.999.999/5a79-64,Compra de produtos - Parcela 1/1 - NF INTERNET,109.90,09/04/26
19/03/26,MINISTÉRIO DA FAZENDA,545,99.999.999/bce1-99,PRO LABORE,333.96,09/04/26
19/03/26,PREVER/ITAU/,512,99.999.999/5a79-6c,Compra de produtos - Parcela 1/1 - NF PREVER,98.00,09/04/26
19/03/26,RASTREADOR,505,99.999.999/5a79-61,Compra de produtos - Parcela 1/1 - NF RASTREADOR MOTO,59.90,09/04/26
19/03/26,SANEPAR,508,99.999.999/5a79-66,Compra de produtos - Parcela 1/1 - NF AGUA,196.56,09/04/26
19/03/26,SEGURO DOS CARROS,443,99.999.999/5a79-ee,Compra de produtos - Parcela 1/1 - NF SEGURO DOS CARROS,430.00,09/04/26
19/03/26,SERCOMTEL,506,99.999.999/5a79-63,Compra de produtos - Parcela 1/1 - NF TELEFONE FIXO,49.90,09/04/26
19/03/26,TIM,513,99.999.999/5a79-6d,Compra de produtos - Parcela 1/1 - NF,239.96,10/04/26
19/03/26,COPEL,432,99.999.999/5a79-db,COPEL,949.08,12/04/26
19/03/26,PRESTAÇÃO MOTO,527,99.999.999/5a79-83,PRESTAÇÃO MOTO,585.00,12/04/26
19/03/26,PUC MINAS,442,99.999.999/5a79-ec,Compra de produtos - Parcela 1/12 - NF PARCELAS,265.93,12/04/26
19/03/26,SIMPLES NACIONAL,565,99.999.999/7c80-99,SIMPLES NACIONAL,11.25,13/04/26
19/03/26,FATIMA,428,99.999.999/5a79-d2,DESPESAS DIVERSAS,100.00,14/04/26
19/03/26,MARIA,409,99.999.999/5a79-b1,DIARISTA,120.00,14/04/26
19/03/26,PSICÓLOGA,551,99.999.999/5z14-w4,Compra de produtos - Parcela 1/1 - NF PSICÓLOGA,150.00,16/04/26
19/03/26,KING HOST,404,99.999.999/5a79-a9,Compra de produtos - Parcela 1/1 - NF KING HOST,98.99,18/04/26
